Campaña,Canal,% Recorrido,% Contactabilidad,Efec. Bruta,Efect Neta,Vueltas
PxLxTx_DxCxL_MxDxx_BxJx,Kxnxctx txlxvxntxz cxlxmbxx,0.999866667,0.270236031,0.00160375,0.000863558,9.363615149
PxLxTx_DxCxL_MxDxx_BxJx,Kxnxctx txlxvxntxz,1,0.273177778,0.001179533,0.000732124,6.967166667
PxLxTx_DxCxL_MxDxx_BxJx,Txxndx Gzz Tvt Cxlxmbxx,1,0.359215515,0.000927832,0.000666879,15.633577053
PxLxTx_DxCxL_MxDxx_BxJx,Kxnxctx Pxrx,0.999277778,0.292612566,0.000823323,0.000591104,7.516169085
PxLxTx_DxCxL_MxDxx_BxJx,Hxldtxch,0.883635417,0.184335546,0.001790625,0.000575558,4.015996888
PxLxTx_DxCxL_MxDxx_BxJx,Cxvxzxxn Pxrx TVT,1,0.352479167,0.001004788,0.000531946,14.546770833
PxLxTx_DxCxL_MxDxx_BxJx,CGz CxLxMBxx,0.999935897,0.279133278,0.000780855,0.000459327,6.405628566
PxLxTx_zxN_RxzTRxCCxxNxz,Txxndx Gzz Tvt Cxlxmbxx,1,0.346215709,0.018583043,0.014453478,11.866321151
PxLxTx_zxN_RxzTRxCCxxNxz,CGz CxLxMBxx,0.895204527,0.313092663,0.022139568,0.014169323,12.423501359
PxLxTx_zxN_RxzTRxCCxxNxz,Kxnxctx Pxrx,1,0.313597246,0.014270033,0.009879254,5.1383821
RxTxRGxTxNG_PxRTx,Kxnxctx Pxrx,0.982701568,0.699774738,0.039358842,0.029237049,44.82594459
RxTxRGxTxNG_PxRTx,Txxndx Gzz Tvt Cxlxmbxx,0.984244277,0.651557646,0.026754081,0.019039105,22.68536417
RxMxTxL_MxVxzTxR,RxMxTxL,1,0.825474411,0.851967955,0.649251132,4.385566417
RxMxTxL_MxLTx,RxMxTxL,1,0.866666667,-,-,2.2
WxNBxCK_xDxLTxMxYxR,Kxnxctx txlxvxntxz,1,0.239621331,0.013514213,0.009475483,16.546800169
WxNBxCK_xDxLTxMxYxR,xMxRGxx,1,0.1717204,0.011410537,0.008335356,6.952306837
WxNBxCK_xDxLTxMxYxR,Kxnxctx txlxvxntxz cxlxmbxx,1,0.138579095,0.01022171,0.006622517,4.811324143
WxNBxCK_xDxLTxMxYxR,Hxldtxch,1,0.221063995,0.009868254,0.005798871,14.272779408
WxNBxCK_BxzxNxzz,Kxnxctx txlxvxntxz,0.999727975,0.302936855,0.004550898,0.003293413,24.59785586
WxNBxCK_CxNzxMxR,Cxvxzxxn Pxrx TVT,1,0.081973775,0.013065857,0.010294312,2.533624719
WxNBxCK_CxNzxMxR,Kxnxctx txlxvxntxz cxlxmbxx,1,0.074266116,0.013350843,0.008754651,1.933991093
WxNBxCK_CxNzxMxR,Kxnxctx txlxvxntxz,1,0.145753552,0.010865562,0.007980356,8.799935579
WxNBxCK_CxNzxMxR,PHxxNxXzxLxz,1,0.170667819,0.009928797,0.006526899,9.073958305
WxNBxCK_CxNzxMxR,xMxRGxx,1,0.081934523,0.006315465,0.004775108,2.482696822
WxNBxCK_CxNzxMxR,Txxndx Gzz Tvt Cxlxmbxx,1,0.15290602,0.005851375,0.004505559,6.524658221
WxNBxCK_CxNzxMxR,Hxldtxch,1,0.175407512,0.005979798,0.004282828,11.137434444
WxNBxCK_DxxDxRxz,Hxldtxch,1,0.173814148,0.009410381,0.007057786,20.765819873
WxNBxCK_DxxDxRxz,Kxnxctx txlxvxntxz,1,0.153547092,0.009115183,0.006997514,14.349478327
WxNBxCK_DxxDxRxz,Cxvxzxxn Pxrx TVT,1,0.082214595,0.008279021,0.005989079,2.742118145
WxNBxCK_DxxDxRxz,PHxxNxXzxLxz,1,0.17128012,0.008984251,0.005284854,8.961185437
WxNBxCK_DxxDxRxz,Kxnxctx txlxvxntxz cxlxmbxx,1,0.058751577,0.006506181,0.005204945,1.570849738
WxNBxCK_DxxDxRxz,xMxRGxx,1,0.079143329,0.006749847,0.004295357,2.601337132
WxNBxCK_DxxDxRxz,Txxndx Gzz Tvt Cxlxmbxx,1,0.151312887,0.004420617,0.00348006,7.451974667
WxNBxCK_DxxDxRxz_BxzxNxzz,Kxnxctx txlxvxntxz,0.999875508,0.248018261,0.005187416,0.004016064,17.26017846
WxNBxCK_DxFxRxNCxxDx,Kxnxctx txlxvxntxz,0.990795529,0.335019907,0.035899975,0.026986878,19.318347711
WxNBxCK_FxBRx,Gzz,1,0.3061582,0.007042254,0.005721831,7.990432556
WxNBxCK_FxBRx,xPC,0.825514995,0.236318918,0.007372073,0.004553339,4.878304981
WxNBxCK_FxBRx_xNVxLxNTxRxx,Gzz,1,0.197322575,0.008364312,0.008364312,7.242251971
WxNBxCK_FxBRx_xNVxLxNTxRxx,xPC,0.887898809,0.147256083,0.00831117,0.004986702,4.224996328
WxNBxCK_LxB_DxxDx,CGz CxLxMBxx,1,0.089014085,0.004520796,0.001808318,7.871629779
WxNBxCK_RxPxCTxCxxN,xMxRGxx,1,0.161350325,0.01226392,0.009627177,8.629412696
xtd_hxl_cxllbxck,Hxldtxch,1,0.285714286,-,-,1
