Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
LLxMxDxRxz_L2;Txxndx Gzz Tvt Cxlxmbxx;97,21%;0,402677316;0,004803458;0,002001441;;1;2024
LLxMxDxRxz_L2;VTxC;21,42%;0,245703256;0,002417284;0,001964043;;1;2024
LLxMxDxRxz_L2;Gzz BxRRxNQxxLLx;97,97%;0,430928381;0,003036876;0,001464208;;1;2024
LLxMxDxRxz_L2;NxTPxG;55,87%;0,479812713;0,004763011;0,001316605;;1;2024
LLxMxDxRxz_L2;xpxx Txlxvxntxz Cxlxmbxx;95,98%;0,22286346;0,00221515;0,001216773;;1;2024
LLxMxDxRxz_L2;CGz CHxLx;0,02%;0,666666667;-;-;;1;2024
LLxMxDxRxz_L3_xNTxL;Kxnxctx txlxvxntxz cxlxmbxx;0,06%;0,424242424;0,214285714;0,428571429;;1;2024
LLxMxDxRxz_L3_xNTxL;PHxxNxXzxLxz;16,81%;0,261360232;0,015284677;0,008788689;;1;2024
LLxMxDxRxz_L3_xNTxL;VTxC;100,00%;0,562079943;0,00985945;0,006503042;;1;2024
LLxMxDxRxz_L3_xNTxL;Hxldtxch zxntxxgx;100,00%;0,266886715;0,00795053;0,004858657;;1;2024
LLxMxDxRxz_L3_xNTxL;Kxnxctx txlxvxntxz;98,31%;0,348626366;0,005275959;0,003161833;;1;2024
LLxMxDxRxz_L3_xNTxL;Hxldtxch;36,32%;0,300312456;0,005911563;0,003074013;;1;2024
LLxMxDxRxz_L3_xNTxL;xBR Lxtxm Cxlxmbxx;89,00%;0,420365956;0,004212883;0,003019724;;1;2024
LLxMxDxRxz_L3_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;99,77%;0,629919243;0,004621585;0,002597331;;1;2024
LLxMxDxRxz_L3_xNTxL;MxRKxTMxX;81,57%;0,485410111;0,004251736;0,002581913;;1;2024
LLxMxDxRxz_L3_xNTxL;xpxx Txlxvxntxz Cxlxmbxx;30,38%;0,19679622;0,004485488;0,002110818;;1;2024
LLxMxDxRxz_L3_xNTxL;Gzz BxRRxNQxxLLx;99,55%;0,545095309;0,00360036;0,002006957;;1;2024
LLxMxDxRxz_L3_xNTxL;NxTPxG;49,87%;0,343893385;0,003680634;0,00175184;;1;2024
LLxMxDxRxz_L3_xNTxL;CGz CxLxMBxx;95,24%;0,283473272;0,001897333;0,000843259;;1;2024
